5000,100,879.959273
5000,50,428.143596
5000,40,343.802116
5000,25,211.552152
5000,10,88.452974
5000,5,44.467088
5000,1,9.064908
3000,100,308.926550
3000,50,154.610855
3000,40,125.876624
3000,25,77.436848
3000,10,31.227229
3000,5,14.811198
3000,1,3.037966
2000,100,137.539429
2000,50,69.268340
2000,40,54.381279
2000,25,35.429022
2000,10,15.800003
2000,5,7.439624
2000,1,1.618978
1500,100,80.701903
1500,50,38.876078
1500,40,30.947661
1500,25,19.235899
1500,10,7.428089
1500,5,3.728063
1500,1,0.779690
1000,100,32.487474
1000,50,16.227674
1000,40,12.782729
1000,25,7.920020
1000,10,3.161162
1000,5,1.594185
1000,1,0.343522
750,100,17.646403
750,50,8.860009
750,40,7.075346
750,25,4.444889
750,10,1.792119
750,5,0.921403
750,1,0.216238
500,100,7.815543
500,50,3.916218
500,40,3.136734
500,25,1.958934
500,10,0.786562
500,5,0.396289
500,1,0.081865
250,100,1.959924
250,50,0.977954
250,40,0.790690
250,25,0.492104
250,10,0.198461
250,5,0.099760
250,1,0.020598
100,100,0.315300
100,50,0.158297
100,40,0.134378
100,25,0.082458
100,10,0.040409
100,5,0.020819
100,1,0.003496
